HCR No,Installation Name,Operator,Incident Date,Leak Size (kg),Fluid Phase,Severity
5719 ,CLYDE PLATFORM ,TALISMAN ENERGY (UK) LIMITED,19/07/2009 ,3.0,Gas,Significant
5721 ,Aoka Mizu ,BLUEWATER ENGINEERING,18/08/2009 ,20.0,Gas,Significant
5722 ,CORMORANT ALPHA ,WOOD GROUP ENGINEERING (NORTH SEA) LTD now under TAQA BRATANI,12/08/2009 ,3.3,Gas,Significant
5723 ,OCEAN NOMAD ,DIAMOND OFFSHORE DRILLING,27/08/2009 ,1.6,Oil,Minor
5724 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,17/08/2009 ,4.0,Non-Process,Minor
5725 ,KITTIWAKE ,PETROFAC FACILITIES MANAGEMENT LTD,02/09/2009 ,0.1,Gas,Minor
5726 ,TARTAN A ,TALISMAN ENERGY (UK) LIMITED,15/08/2009 ,11.5,Oil,Minor
5727 ,BRUCE PUQ ,BP (DBU),03/08/2009 ,1.7,Condensate,Minor
5728 ,SHEARWATER PUQ ,SHELL U.K. (CENTRAL),18/07/2009 ,66.8,Condensate,Minor
5731 ,CLIPPER PW ,SHELL U.K. SOUTHERN OPS,06/07/2009 ,1.7,Gas,Significant
5734 ,CLAYMORE A ,TALISMAN ENERGY (UK) LIMITED,21/08/2009 ,0.5,Gas,Minor
5735 ,CLAYMORE A ,TALISMAN ENERGY (UK) LIMITED,02/09/2009 ,0.7,Gas,Minor
5736 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,24/08/2009 ,20.0,Non-Process,Minor
5737 ,TRENT ,PERENCO UK LIMITED,10/07/2009 ,5.2,Gas,Minor
5738 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,03/05/2009 ,83.0,Gas,Significant
5739 ,LEMAN AK ,SHELL U.K. SOUTHERN OPS,31/07/2009 ,0.1,Gas,Minor
5740 ,CLIPPER PC ,SHELL U.K. SOUTHERN OPS,18/08/2009 ,1.9,Gas,Minor
5741 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,03/04/2009 ,11.1,Gas,Significant
